Exercise Name,Category,Age Group,Goals,Target Region,Contraindications,Fitness Level,Available Equipment,Sets,Reps,RPE,Rest Intervals,Health Benefit,Steps to Perform,Safety Cue,Validation Status
Hamstring Scoop (Dynamic),"Mobility, Flexibility",All Ages,"Dynamic Warm-up, Improve Flexibility & Mobility",Lower Body,Acute hamstring strain/tear,Level 2 – Beginner Functional,Bodyweight,3,10-12 / leg,4-3,30 seconds,Dynamic Warm-up for Running/Lifting,"1. Stand tall, take a small step forward with one leg, keeping it straight, toe pointed up. 2. Sweep the hands forward and down (as if scooping up water) past the front foot. 3. Step forward and repeat with the opposite leg, maintaining a fluid movement.","Keep the front leg straight as you sweep. It's a gentle, dynamic movement, not a static stretch.",
Seated Single-Arm Cable Row,"Functional Strength, Posture",18-60,"Increase overall strength, Improve Posture and Balance","Upper Body, Core","Acute shoulder instability, inflamed elbow joint",Level 3 – Moderate / Independent,Machine (Cable),3,10-12 / side,7-6,90 seconds,Unilateral Back Strength & Imbalance Correction,"1. Sit tall at the cable machine, grip one handle. 2. Pull the handle toward your ribs, focusing on squeezing the shoulder blade toward the spine. 3. Slowly extend the arm back out, maintaining an upright torso.",Avoid rotating your torso excessively; the goal is to keep the trunk stable and pull with the back.,
Wall Push-Off (Assisted),Functional Strength,60+,"Rehabilitation & Injury prevention, Increase overall strength","Upper Body, Core","Acute shoulder injury, unstable wrist/hand fracture",Level 1 – Assisted / Low Function,"Bodyweight, Wall",3,12-15,4-3,45 seconds,Gentle Upper Body Strength & Confidence,"1. Stand arms' length from a wall, hands flat against the wall at chest height. 2. Slowly bend elbows and lean your chest toward the wall. 3. Push back strongly to the starting position.",Maintain a straight line from head to heels. Use a wide stance for more stability.,
Stability Ball Wall Squat,"Stability, Functional Strength",40-60,"Rehabilitation & Injury prevention, Increase overall strength","Lower Body, Core","Acute knee pain, unhealed meniscus tear",Level 2 – Beginner Functional,"Balls (Stability Ball), Wall",3,12-15,6-5,60 seconds,Quad/Glute Strength with Back Support,"1. Stand against a wall, place the ball between your low back and the wall. 2. Walk feet out slightly. Lower into a squat, rolling the ball down your back. 3. Drive through the heels to return to standing.",Keep your feet positioned so your knees do not go past your toes at the bottom of the squat.,
Head Nods and Tilts,"Mobility, Rehabilitation",All Ages,"Reduce Stress, Rehabilitation & Injury prevention",Upper Body,"Acute whiplash, unhealed cervical spine fracture",Level 1 – Assisted / Low Function,"Bodyweight, Chair",3,10-12 / direction,2-1,30 seconds,Neck Mobility & Tension Relief,"1. Sit tall. Slowly lower chin toward chest (nod). Return to center. 2. Gently tilt ear toward shoulder on one side. Return to center. 3. Repeat slowly and gently, avoiding pain.",The movement should be slow and gentle. Never push into pain or full range of motion.,
Seated Overhead Dumbbell Carry,"Balance, Functional Strength",18-55,"Improve Posture and Balance, Stability","Upper Body, Core","Shoulder impingement, neck fusion surgery",Level 5 – Adaptive Advanced,Free Weights (Light Dumbbell),3,30-45 sec / side,8-7,60 seconds,Shoulder Girdle & Deep Core Stability,"1. Sit on floor or a bench, press a light dumbbell straight overhead. 2. Maintain a perfectly vertical arm and actively press the weight to the ceiling. 3. Hold and resist any movement in the torso or arm.",Focus on keeping the core braced and the ribcage pulled down to avoid arching the low back.,
Forearm Side Plank (Modified Knees),"Core (Spine-Friendly), Stability",40-60,"Rehabilitation & Injury prevention, Increase overall strength","Core, Full Body","Acute rib fracture, unhealed shoulder injury",Level 2 – Beginner Functional,Mat,3,Hold 30 sec / side,5-4,45 seconds,Oblique Strength & Lateral Stability,"1. Lie on your side, forearm on floor, elbow directly under shoulder. 2. Keep knees bent, stack hips, and lift hips off the floor, forming a straight line from head to knees. 3. Hold, then slowly lower.",Ensure your elbow is directly under your shoulder to protect the joint. Squeeze the bottom oblique muscle.,
Yoga: Bridge Pose (Setu Bandhasana),"Yoga, Flexibility",All Ages,"Improve Flexibility & Mobility, Reduce Stress","Lower Body, Core","Acute sacroiliac joint pain, late-stage pregnancy (avoid)",Level 3 – Moderate / Independent,Mat,3,Hold 30-45 sec,4-3,30 seconds,Glute Activation & Chest Opening,"1. Lie on back, knees bent, feet flat near hips. 2. Press into feet, squeeze glutes, and lift hips toward the ceiling. 3. Clasp hands underneath or keep arms flat. Hold the peak of the pose.",Keep your knees tracking over your ankles. Avoid letting the knees splay out wide.,
Lying Adductor Squeeze,"Stability, Rehabilitation",All Ages,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body,"Acute groin strain, hip joint impingement",Level 1 – Assisted / Low Function,"Mat, Balls (Small Ball/Pillow)",3,15-20,3-2,30 seconds,Inner Thigh Strength & Pelvic Stability,"1. Lie on back, knees bent, feet flat. Place a small ball or foam roller between your knees. 2. Gently squeeze the object between your knees for a few seconds. 3. Slowly release the squeeze. Focus on the inner thigh muscles.",Keep your back relaxed and neutral on the floor. Focus only on the inner thigh contraction.,
Stair Climbing (Steady Pace),Low-Impact Cardio,40+,Improve cardiovascular fitness,"Lower Body, Full Body","Acute knee/hip pain, severe unmanaged balance issues",Level 3 – Moderate / Independent,Cardio Tools (Stairs),1,5-10 minutes,7-5,N/A,Cardiovascular & Functional Strength,"1. Use a sturdy handrail for balance. 2. Climb stairs at a steady, rhythmic pace, focusing on pushing off the entire foot. 3. Maintain an upright posture and control your breathing.",Use handrails for safety and take one step at a time if balance is a concern.,
Seated Hip Flexor Stretch (Chair),"Flexibility, Posture",60+,"Improve Flexibility & Mobility, Improve Posture and Balance","Lower Body, Core","Recent hip replacement (check angle), severe knee pain",Level 1 – Assisted / Low Function,Sturdy Chair,2,Hold 30 sec / side,2-1,15 seconds,Relieve Hip Tightness & Low Back Stress,1. Sit near the edge of a chair. Slide one hip forward until the thigh is off the seat and the knee is pointing toward the floor. 2. Keep the chest lifted and gently tuck the tailbone under (pelvic tilt). 3. Hold the stretch in the front of the hip.,Sit on the very edge of the chair to allow the hip flexor of the back leg to lengthen.,
Dumbbell Floor Press,Functional Strength,18-55,Increase overall strength,"Upper Body, Core","Acute shoulder instability, severe lower back pain",Level 4 – Active Wellness,"Free Weights (Dumbbells), Mat",3,8-10,8-7,90 seconds,Joint-Friendly Chest/Tricep Strength,"1. Lie on your back, knees bent, feet flat. Hold dumbbells above your chest. 2. Slowly lower weights until your triceps lightly touch the floor. 3. Powerfully press the weights back up to the start.",Keep your upper arms close to your sides. Press your low back flat into the floor to maintain core stability.,
Seated Machine Pec Deck Fly,Functional Strength,18-55,Increase overall strength,Upper Body,"Acute shoulder instability, chronic sternum/rib pain",Level 3 – Moderate / Independent,Machine,3,12-15,7-6,60 seconds,Chest Isolation & Muscle Pump,"1. Sit in machine, adjust seat so shoulders are level with handles/pads. 2. Press handles/pads together in front of your chest, squeezing chest muscles. 3. Slowly return the arms to the open position with control.",Do not let the weight stack touch between reps. Maintain tension and a slight bend in the elbows.,
Static Hip Lift (Yoga/Core),"Core (Spine-Friendly), Stability",18-60,"Increase overall strength, Improve Posture and Balance","Core, Lower Body","Acute back pain, unhealed abdominal separation",Level 3 – Moderate / Independent,Mat,3,Hold 45-60 sec,6-5,60 seconds,Low Abdominal Strength & Control,"1. Lie on back, lift knees to 90 degrees (shins parallel to floor). 2. Press your hands against your thighs and simultaneously push your thighs back against your hands. 3. Hold this isometric contraction, focusing on deep core engagement.",Ensure your back remains pressed flat against the mat. Do not let your hands or knees win the push-pull.,
Single-Leg Stand on Cushion,"Balance, Stability",All Ages,"Improve Posture and Balance, Rehabilitation & Injury prevention","Lower Body, Core","Acute ankle sprain, severe vertigo",Level 4 – Active Wellness,"Bodyweight, Balls (Pillow/Cushion/Disc)",3,30 sec / leg,6-5,45 seconds,Proprioception & Ankle Stability,"1. Stand near a support. Place one foot on a folded towel, cushion, or balance disc. 2. Slowly lift the other foot and maintain balance on the unstable surface. 3. Hold for time, then switch legs.","Gaze at a fixed point in front of you. Focus on tiny, continuous muscle adjustments to stay upright.",
Seated Deep Breathing (Chair),Breathing & Diaphragmatic Work,All Ages,"Reduce Stress, Improve Oxygen Efficiency",Full Body,Unmanaged anxiety or panic attacks (consult physician),Level 1 – Assisted / Low Function,Sturdy Chair,5,10 breaths,2-1,N/A,Nervous System Regulation & Focus,"1. Sit tall in a chair, feet flat on the floor, hands resting in your lap. 2. Close eyes or soften gaze. Inhale deeply through the nose, filling the belly and chest. 3. Exhale slowly and completely through the mouth, emptying the lungs fully.","Relax your shoulders. Let your breath be audible and smooth, focusing on making the exhale slightly longer than the inhale.",
Kapalabhati (Skull Shining Breath),Breathing,18-60,"Reduce Stress, Improve Focus","Core, Full Body","Unmanaged high blood pressure, pregnancy, hernia, recent abdominal surgery",Level 5 – Adaptive Advanced,Mat/Chair,3,20-30 quick exhales,5-4,60 seconds,Energy Boost & Core Toning,"1. Sit tall. Take a deep inhale. 2. Exhale forcefully through the nose, drawing the belly sharply inward (like an abdominal pump). 3. The inhale is passive. Continue the sharp, active exhales for 20-30 cycles, then rest.",Keep your face and shoulders relaxed; the action comes solely from the lower abdomen. Stop if you feel dizzy.,
Yoga: Dolphin Pose,"Yoga, Core",18-60,"Increase overall strength, Improve Flexibility & Mobility","Upper Body, Core","Acute shoulder injury, unhealed neck injury",Level 4 – Active Wellness,Mat,3,Hold 30-45 sec,7-6,60 seconds,Core & Shoulder Strength/Flexibility,"1. Start on hands and knees. Lower onto forearms, clasp hands or keep them parallel. 2. Tuck toes, lift hips high and walk feet in (like Downward Dog on forearms). 3. Press forearms down, lift shoulders away from ears, and hold, pulling the core inward.",Keep your neck long and your head lifted slightly off the floor; do not let your head hang or rest on the mat.,
Yoga: Half Boat Pose (Ardha Navasana),"Core (Spine-Friendly), Yoga",18-55,"Increase overall strength, Improve Posture and Balance","Core, Full Body","Acute back pain, neck strain (support head)",Level 4 – Active Wellness,Mat,3,Hold 45-60 sec,8-7,60 seconds,Deep Abdominal Endurance,"1. Lie on back, bring legs straight up. 2. Lift head, neck, and shoulders off the mat. Lower straight legs to about 30 degrees (without back arching). 3. Extend arms forward or overhead and hold the position.","Press the entire lower back firmly into the floor. If it lifts, raise your legs higher until the back flattens.",
Lying Windshield Wipers,"Mobility, Core",All Ages,"Improve Flexibility & Mobility, Reduce Stress","Lower Body, Core","Acute SI joint pain, unhealed hip injury",Level 2 – Beginner Functional,Mat,3,10-12 / side,3-2,30 seconds,Spinal/Hip Release & Gentle Twist,"1. Lie on back, knees bent, feet wide (to edges of mat), arms out to sides. 2. Slowly drop both knees together to one side (like a car's wiper). 3. Return to center and slowly drop them to the other side.",Keep your upper back and shoulders relaxed on the mat. Move slowly within a comfortable range.,
Yoga: Extended Triangle Pose (Utthita Trikonasana),"Yoga, Flexibility, Stability",All Ages,"Improve Flexibility & Mobility, Improve Posture and Balance",Full Body,"Acute knee injury, low blood pressure",Level 3 – Moderate / Independent,"Mat, Yoga Block (Optional)",2,Hold 45 sec / side,5-4,30 seconds,Side Body Stretch & Hip Stability,"1. Stand with feet wide, turn one foot out 90 degrees. Hinge hips over the front leg. 2. Lower hand to shin, ankle, or a block. Extend the top arm straight up to the ceiling. 3. Look up at the top hand, creating a straight line from the heel of the back foot to the top hand.","Focus on length, not depth. The body should be flat against an imaginary wall; avoid collapsing forward.",
Core Engaging Breath (Supine),"Breathing, Core",All Ages,"Rehabilitation & Injury prevention, Improve Focus",Core,Recent abdominal/pelvic floor surgery (check protocol),Level 1 – Assisted / Low Function,Mat,5,10 breaths,2-1,N/A,Deep Core/Diaphragm Coordination,"1. Lie on back, knees bent. Place one hand on belly. 2. Inhale: breathe into the belly/ribs (360 degrees expansion). 3. Exhale: gently contract pelvic floor and deep abdominals (zipper from pubic bone to navel).","Keep the chest still; the primary movement should be in the lower ribs, belly, and sides.",
Plank with Hip Dips,"Core (Spine-Friendly), Stability",18-55,"Increase overall strength, Improve Flexibility & Mobility","Core, Full Body","Acute back injury, severe shoulder/wrist pain",Level 4 – Active Wellness,Mat,3,10-12 / side,8-7,60 seconds,Oblique Strength & Rotational Stability,"1. Start in a forearm plank position. 2. Keeping the core tight, slowly dip the right hip toward the floor (without touching). 3. Return to center and slowly dip the left hip. Continue alternating.",Control the twist; avoid letting your hips rise up too high. Keep shoulders stable over elbows.,
Yoga: Seated Forward Fold (Paschimottanasana),"Flexibility, Yoga",All Ages,"Improve Flexibility & Mobility, Reduce Stress","Lower Body, Core","Acute lumbar disc injury, severe sciatica",Level 3 – Moderate / Independent,"Mat, Strap/Towel",3,Hold 60-90 sec,3-2,30 seconds,Calming Stretch & Hamstring Release,"1. Sit with legs extended, feet flexed. Inhale and lengthen the spine. 2. Exhale and hinge forward from the hips, reaching for shins, ankles, or feet (use a strap if needed). 3. Relax the neck and breathe deeply into the back of the body.",Keep the spine long; avoid rounding the upper back aggressively. Focus on the hip hinge.,
Fire Hydrants (Quadruped),"Mobility, Stability",All Ages,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body,"Acute SI joint pain, severe hip arthritis",Level 2 – Beginner Functional,Mat,3,12-15 / side,4-3,45 seconds,Glute Medius Activation & Hip Stability,"1. Start on hands and knees (tabletop). 2. Keeping the knee bent, slowly lift one knee out to the side (like a dog lifting its leg). 3. Lower the knee slowly and repeat. Ensure hips remain level.",Avoid leaning into the opposite hip to lift the leg higher; keep the hips square to the floor.,
Lying Knee Hug to Chest,"Mobility, Rehabilitation",60+,"Improve Flexibility & Mobility, Reduce Stress","Lower Body, Core","Recent abdominal surgery, unhealed rib fracture",Level 1 – Assisted / Low Function,Mat,3,Hold 30 sec / side,2-1,15 seconds,Gentle Low Back Release & Hip Stretch,"1. Lie on back, knees bent, feet flat. 2. Gently draw one knee in toward the chest, clasping hands around the shin or behind the thigh. 3. Hold and breathe deeply, allowing the lower back to fully relax into the mat.","Keep the opposite leg either bent or straight, whichever feels most comfortable for your low back.",
Yoga: Warrior III (Virabhadrasana III),"Balance, Yoga",18-60,"Improve Posture and Balance, Increase overall strength","Full Body, Core","Acute knee/ankle injury, severe vertigo",Level 5 – Adaptive Advanced,Bodyweight,3,Hold 30 sec / side,7-6,60 seconds,Full Body Coordination & Deep Core,"1. Start in a high lunge. Shift weight to the front foot. 2. Press through the standing foot, lifting the back leg until the torso and leg are parallel to the floor (forming a 'T'). 3. Extend arms forward and hold the balance.",Keep the lifted hip facing down (square to the floor). Look at a fixed point to maintain balance.,
Cat-Cow Pose (Marjaryasana-Bitilasana),"Mobility, Yoga",All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention","Core, Full Body","Acute wrist pain (use fists or modify), unhealed spinal fracture",Level 1 – Assisted / Low Function,Mat,3,10-12 cycles,2-1,30 seconds,Spinal Warm-up & Core/Breath Link,"1. Start on hands and knees. Inhale: drop the belly, lift the chest and tailbone (Cow). 2. Exhale: round the spine toward the ceiling, tucking the chin and tailbone (Cat). 3. Flow smoothly between the two poses, linking movement to breath.",Move slowly and deliberately. Synchronize the full inhale with Cow and the full exhale with Cat.,
Alternate Nostril Breathing (Nadi Shodhana),"Breathing, Yoga",All Ages,"Reduce Stress, Improve Focus",Full Body,"Severe congestion (modify), acute asthma attack",Level 3 – Moderate / Independent,Mat/Chair,5,5-10 rounds,2-1,N/A,Nervous System Balance & Calm,"1. Sit comfortably. Place right thumb on right nostril, right ring finger on left nostril. 2. Close right, inhale left. Close left, exhale right. 3. Inhale right. Close right, exhale left. Continue alternating.","The breath should be slow, quiet, and effortless. Do not force the breath or hold too long.",
Supine Toe Taps (Core),"Core (Spine-Friendly), Stability",All Ages,"Rehabilitation & Injury prevention, Increase overall strength",Core,"Acute back pain, hip flexor tendonitis",Level 2 – Beginner Functional,Mat,3,12-15 / side,4-3,45 seconds,Low Abdominal Stability & Control,"1. Lie on back, knees bent 90 degrees (shins parallel to floor). Back pressed flat. 2. Slowly lower one heel to tap the floor, maintaining the 90-degree knee bend. 3. Pull the leg back up using the core. Alternate sides.","Do not let your lower back arch as the foot lowers. If it arches, stop the tap higher up.",
Yoga: Reclined Bound Angle Pose (Supta Baddha Konasana),"Flexibility, Yoga",All Ages,"Reduce Stress, Improve Flexibility & Mobility","Lower Body, Full Body","Acute groin tear, low back pain (use support)",Level 1 – Assisted / Low Function,"Mat, Blocks/Pillows",1,Hold 3-5 minutes,2-1,N/A,Restorative Hip Opening & Relaxation,"1. Lie on back. Bring the soles of your feet together, letting knees fall open wide. 2. Place blocks or pillows under each knee for support. 3. Rest arms out to the sides, palms up, and breathe deeply.",Ensure there is no strain in the hips or groin; use enough support under the knees.,
Dolphin Kick (Dolphin Pose Variation),"Core, Yoga",18-55,"Increase overall strength, Improve cardiovascular fitness","Core, Full Body","Acute shoulder injury, unstable neck",Level 5 – Adaptive Advanced,Mat,3,10-12 / side,9-8,90 seconds,Explosive Core Power & Arm Balance Prep,"1. Start in Dolphin Pose (forearms down, hips up). 2. Gaze slightly forward. Gently and repeatedly kick one leg up and back toward the ceiling. 3. Maintain core control and switch legs.",Keep forearms pressing down and avoid letting the shoulders collapse toward the floor.,
Seated Reverse Plank (Chair),"Posture, Stability",60+,"Improve Posture and Balance, Rehabilitation & Injury prevention","Upper Body, Core","Acute wrist pain, shoulder surgery history",Level 1 – Assisted / Low Function,Sturdy Chair,3,Hold 30-45 sec,3-2,30 seconds,Gentle Chest Opening & Back Strengthening,"1. Sit tall in a chair, scoot forward slightly. Place hands on the sides of the seat. 2. Gently push through your hands, slightly lifting your chest and arching your upper back. 3. Squeeze shoulder blades together. Do not lift hips off the seat.",Maintain control and keep the movement focused on opening the chest and activating the upper back.,
Yoga: Crow Pose (Kakasana),"Balance, Yoga",18-50,"Increase overall strength, Improve Focus","Upper Body, Core","Acute wrist injury, unstable high blood pressure",Level 5 – Adaptive Advanced,Mat,2,Hold 10-15 seconds,9-8,60 seconds,Arm Balance & Core Compression,"1. Start in a squat. Place hands flat, shoulder-width apart. 2. Place knees high on the back of the upper arms/triceps. 3. Shift weight forward, gazing slightly ahead. Gently lift one foot, then the other, balancing on the hands.",Protect the wrists by pressing strongly into the fingertips and engaging the core. Use a cushion in front of your face!,
Tabletop Shoulder Stretch (Thread the Needle),"Mobility, Flexibility",All Ages,"Improve Flexibility & Mobility, Reduce Stress","Upper Body, Core","Acute shoulder impingement, recent knee surgery",Level 2 – Beginner Functional,Mat,2,Hold 45 sec / side,3-2,30 seconds,Upper Back Twist & Shoulder Release,"1. Start on hands and knees (tabletop). 2. Slide one arm underneath the opposite armpit, palm facing up. 3. Rest the shoulder and head on the floor, gently pressing the working arm into the floor for a deeper twist.",Keep your hips lifted and stacked over the knees. Avoid shifting the weight drastically backward.,
Corpse Pose (Savasana),"Breathing, Flexibility",All Ages,"Reduce Stress, Improve Focus",Full Body,Any discomfort (use props for support),Level 1 – Assisted / Low Function,"Mat, Blanket/Pillow",1,5-10 minutes,31-12,N/A,Deep Relaxation & Nervous System Reset,"1. Lie flat on your back, arms slightly away from the body, palms up. Legs fall open naturally. 2. Close eyes. Take a deep sigh. Allow the body to be completely still and heavy. 3. Focus on letting go of control of the breath and simply observing.",Use a pillow under your knees or a blanket over your eyes for maximum comfort and relaxation.,
Dumbbell Reverse Fly (Standing),"Posture, Stability",All Ages,"Improve Posture and Balance, Increase overall strength",Upper Body (Rear Delts),"Acute shoulder pain, rotator cuff tear",Level 3 – Moderate / Independent,Free Weights (Dumbbells),3,15-Dec,6-5,60 seconds,Upper Back Strength & Postural Alignment,"1. Stand, hold light dumbbells, hinge at hips with flat back. Arms hang under chest. 2. Keeping a slight bend in elbows, raise arms out to the sides (like a reverse fly). 3. Squeeze shoulder blades together at the top. Slowly lower back down.","Keep your back flat and avoid rounding. Use light weight, focusing on the squeeze in the upper back.",
Superman (Prone Back Extension),Core (Spine-Friendly),All Ages,"Rehabilitation & Injury prevention, Increase overall strength","Core, Full Body (Posterior Chain)","Acute back flare-up, unhealed rib fracture",Level 2 – Beginner Functional,Mat,3,15-Oct,4-3,45 seconds,Low Back Support & Spinal Health,"1. Lie face down, arms extended overhead, legs straight. 2. Simultaneously lift arms, chest, and legs a few inches off the floor. 3. Hold briefly, squeezing the glutes and lower back. Slowly lower back down.",Keep your neck neutral (gaze down). The lift should be small and controlled to avoid hyperextending the low back.,
Mountain Climber (Slow & Controlled),"Low-Impact Cardio, Core",40+,"Improve cardiovascular fitness, Increase overall strength","Full Body, Core","Acute wrist pain, unhealed abdominal hernia",Level 3 – Moderate / Independent,Mat,3,45-60 seconds,7-5,60 seconds,Core Stability & Dynamic Warm-up,"1. Start in a high plank position (hands under shoulders). 2. Slowly bring one knee toward the chest, maintaining a flat back. 3. Return the foot to the plank position and switch legs, moving with control.",Keep your hips low and avoid letting the hips jump up and down. Maintain a rigid plank torso.,
Seated Cable Tricep Pushdown,Functional Strength,18-60,Increase overall strength,Upper Body,"Acute wrist or elbow pain, tennis elbow",Level 3 – Moderate / Independent,Machine (Cable),3,15-Oct,7-6,60 seconds,Tricep Muscle Isolation,"1. Sit facing the cable machine (high pulley), grip the bar/rope, elbows tucked at sides. 2. Press the bar/rope down toward the floor, fully straightening the arms and squeezing the triceps. 3. Slowly let the bar/rope return to the start, controlling the weight.",Keep elbows pinned to your sides. Avoid leaning your body weight into the movement; isolate the triceps.,
Couch Stretch (Passive Quad/Hip),"Flexibility, Mobility",All Ages,"Improve Flexibility & Mobility, Posture","Lower Body, Core","Acute knee pain, recent hip/knee surgery",Level 4 – Active Wellness,Wall/Couch,2,Hold 60-90 sec / side,4-3,30 seconds,Deep Hip Flexor & Quad Release,1. Kneel facing a wall (or couch). Place the top of one foot high up the wall. 2. Step the opposite foot forward into a deep lunge position. 3. Gently push your hips forward and tuck your tailbone until a deep stretch is felt in the front of the back thigh/hip.,Use a thick pad under the kneeling knee. Avoid arching your lower back; focus on tucking the pelvis.,
Dumbbell Shrug,Functional Strength,18-55,Increase overall strength,Upper Body,"Acute neck pain, cervical spine injury",Level 3 – Moderate / Independent,Free Weights (Dumbbells),3,15-20,6-5,45 seconds,Upper Trapezius Strength & Size,"1. Stand tall, holding heavy dumbbells at your sides. 2. Shrug your shoulders straight up toward your ears as high as possible. 3. Hold the squeeze briefly, then slowly lower the weights back to the start.",Roll your shoulders up and down (not forward or backward) in a straight line for maximum benefit and safety.,
Yoga: Bridge Pose (Setu Bandhasana),"Yoga, Core (Spine-Friendly)",All Ages,"Improve Flexibility & Mobility, Increase overall strength","Lower Body, Full Body","Acute neck injury, pregnancy (modify)",Level 2 – Beginner Functional,Mat,3,Hold 30-45 sec,4-3,30 seconds,Gentle Backbend & Chest Opening,"1. Lie on your back, knees bent, feet flat, arms at sides. 2. Press through your feet and arms, lifting the hips off the floor. 3. Clasp hands underneath the back or keep arms flat. Press chest toward chin.",Keep your neck long and avoid turning your head while in the pose. Press through all four corners of your feet.,
Band Face Pull,"Posture, Stability",All Ages,"Improve Posture and Balance, Rehabilitation & Injury prevention",Upper Body (Rear Delts/Traps),"Acute shoulder pain, biceps tendonitis",Level 3 – Moderate / Independent,Resistance Band (Long),3,15-20,5-4,45 seconds,Rotator Cuff & External Rotation Strength,"1. Attach a band to a sturdy anchor at face height. Grip the ends, palms facing down or neutral. 2. Pull the band toward your face, driving the elbows back and squeezing the shoulder blades together. 3. Finish with hands near ears and forearms pointing up. Slowly extend arms.","Pull with your upper back and rear shoulders, not your biceps. Try to externally rotate your shoulders as you pull.",
Wall Push-Up (Standard),Functional Strength,60+,"Increase overall strength, Rehabilitation & Injury prevention","Upper Body, Core","Acute wrist pain, severe dizziness/balance issues",Level 1 – Assisted / Low Function,Wall,3,15-20,3-2,30 seconds,Very Gentle Upper Body Pressing,"1. Stand facing a wall, place hands slightly wider than shoulders on the wall. 2. Step feet back until body is in a slight incline (the steeper the angle, the harder it is). 3. Lower chest toward the wall by bending elbows, then push back strongly.",Keep your body straight from head to heels. The angle determines the intensity—start shallow if needed.,
Seated Good Morning (Bodyweight),"Mobility, Flexibility",60+,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention","Lower Body, Core","Acute low back pain, unhealed spinal fracture",Level 1 – Assisted / Low Function,Sturdy Chair,3,15-Oct,2-1,30 seconds,Gentle Hip Hinge Mobility,"1. Sit on the edge of a chair, feet flat and wide. Place hands on your hips or across your chest. 2. Maintain a flat back. Gently hinge forward at the hips, leading with the chest. 3. Use your glutes/low back muscles to return to an upright seated position.","Only hinge as far as comfortable while maintaining a flat, neutral spine. The movement is small.",
Battle Ropes (Alternating Waves),"High-Impact Cardio, Functional Strength",18-40,"Improve cardiovascular fitness, Increase overall strength","Full Body, Core","Acute shoulder/elbow injury, severe unmanaged heart condition",Level 5 – Adaptive Advanced,Functional Tools (Battle Ropes),3,30-45 seconds,9-8,90 seconds,"Power, Endurance & Core Stabilization","1. Stand in a quarter-squat, holding ropes, facing the anchor point. 2. Quickly alternate moving each arm up and down to create continuous waves traveling down the rope. 3. Maintain continuous, powerful motion, driving power from the core and hips.",Keep your chest up and stay in the athletic (quarter-squat) stance throughout the set.,
Crescent Lunge (Anjaneyasana),"Yoga, Flexibility, Stability",All Ages,"Improve Flexibility & Mobility, Improve Posture and Balance","Lower Body, Core","Acute knee pain, severe ankle instability",Level 3 – Moderate / Independent,Mat,2,Hold 45 sec / side,5-4,30 seconds,Hip Flexor Stretch & Leg Strength,"1. Start in a lunge (front knee stacked over ankle). 2. Ensure the back leg is straight and heel is lifted. Raise arms overhead. 3. Sink hips low, maintaining core engagement and a long spine.",Squeeze the glute of the back leg to deepen the hip flexor stretch and stabilize the pelvis.,
Dumbbell Russian Twist (Seated),Core (Spine-Friendly),18-55,"Increase overall strength, Stability",Core (Obliques),"Acute spinal disc injury, unhealed hernia",Level 4 – Active Wellness,"Free Weights (Dumbbell), Mat",3,15-20 / side,8-7,60 seconds,Rotational Core Power & Definition,"1. Sit on the mat, knees bent, feet slightly off the floor (or resting lightly). Hold a dumbbell at your chest. 2. Keeping the core braced, slowly rotate the torso and touch the dumbbell to the floor beside your hip. 3. Rotate back to the center and switch sides, maintaining a controlled speed.","Keep your back straight (avoid rounding). The rotation should come from the torso, not just swinging the arms.",
Seated Single-Arm Dumbbell Row,Functional Strength,60+,"Increase overall strength, Rehabilitation & Injury prevention",Upper Body,"Acute shoulder pain, low back pain",Level 2 – Beginner Functional,"Free Weights (Dumbbell), Chair",3,10-12 / side,5-4,60 seconds,Back Strength & Postural Balance,"1. Sit on a bench/chair. Lean forward, supporting with one hand on the knee. Hold a dumbbell in the opposite hand. 2. Pull the weight to the chest, squeezing the shoulder blade toward the spine. 3. Slowly lower the weight back down with control.","Maintain a flat back throughout the movement. Focus on pulling the elbow, not just the wrist.",
Quadruped Arm Lift (Without Leg),"Core (Spine-Friendly), Stability",60+,"Rehabilitation & Injury prevention, Improve Posture and Balance","Core, Upper Body","Acute wrist pain (use fists), severe shoulder instability",Level 1 – Assisted / Low Function,Mat,3,12-15 / side,3-2,30 seconds,Shoulder Stability & Core Anti-Rotation,"1. Start on hands and knees (tabletop). 2. Slowly extend one arm straight forward to ear height, keeping hips and torso perfectly still. 3. Lower the arm back down with control. Alternate arms.",Avoid letting your torso shift or rotate as you lift the arm. Keep your gaze down to protect the neck.,
Standing Hip Circles,"Mobility, Warm-up",All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention",Lower Body,"Acute hip joint pain, severe balance issues (use support)",Level 3 – Moderate / Independent,"Bodyweight, Wall/Chair",3,10 circles / direction / leg,4-3,30 seconds,Hip Capsule Lubrication & Range of Motion,"1. Stand near a wall for support, balancing on one leg. 2. Lift the opposite knee up and draw a large, slow circle with the knee, moving the hip. 3. Complete all reps in one direction, then reverse the direction, and switch legs.","Keep the standing knee slightly soft. Focus on slow, controlled, full circles in the hip joint.",
